,time_ms,coord_x,coord_y,is_retweet,retweet_count,sentiment,anger,joy,sadness,fear,surprise
0,1528987651637.0,-71.0,-30.0,0.0,0.0,0.23950764567486169,0.07770490646362305,0.04626145213842392,0.6108590364456177,0.24500010907649994,0.02017449401319027
1,1528987651934.0,45.0,25.0,1.0,0.0,0.697245120023798,0.14811185002326965,0.05657600611448288,0.44677451252937317,0.3352476954460144,0.013289939612150192
2,1528987651981.0,-76.28522,36.84681,1.0,0.0,0.8048588986118999,0.09026823192834854,0.4604901671409607,0.21035277843475342,0.17950358986854553,0.059385254979133606
3,1528987652088.0,46.72185,24.68773,1.0,0.0,0.7200724493159063,0.12811118364334106,0.020620375871658325,0.5139435529708862,0.3311745822429657,0.006150281988084316
4,1528987652189.0,-71.0,-30.0,1.0,0.0,0.8048588986118999,0.09026823192834854,0.4604901671409607,0.21035277843475342,0.17950358986854553,0.059385254979133606
5,1528987652386.0,31.05337,-17.82772,0.0,0.0,0.2942436144097946,0.3160412311553955,0.01602005586028099,0.5461528301239014,0.1206958144903183,0.0010900766355916858
6,1528987652547.0,-43.93778,-19.92083,1.0,0.0,0.4035814269024517,0.10969425737857819,0.04689652845263481,0.46640998125076294,0.3408510088920593,0.03614823520183563
7,1528987652742.0,-78.25,-1.25,1.0,0.0,0.6900708389895109,0.137901172041893,0.3754214942455292,0.22666916251182556,0.1526905596256256,0.10731769353151321
8,1528987652524.0,37.61556,55.75222,0.0,0.0,0.5513731558234325,0.16400888562202454,0.04590952768921852,0.28135693073272705,0.5002680420875549,0.00845659151673317
9,1528987652930.0,-55.0,-10.0,0.0,0.0,0.05997201861408018,0.14206749200820923,0.03179435431957245,0.6624649167060852,0.15697288513183594,0.006700429134070873
10,1528987653194.0,-45.88694,-23.17944,1.0,0.0,0.6568017713496809,0.11395861208438873,0.04932142049074173,0.4487450420856476,0.3772357702255249,0.010739102028310299
11,1528987653774.0,-1.39905,50.98461,0.0,0.0,0.3677981109577341,0.27696913480758667,0.18079768121242523,0.27211159467697144,0.09633896499872208,0.1737825870513916
12,1528987653814.0,144.96332,-37.814,1.0,0.0,0.6043612154804602,0.06799693405628204,0.5057581663131714,0.25697121024131775,0.1287958174943924,0.040477827191352844
13,1528987654693.0,-64.18105,-31.4135,1.0,0.0,0.8522141081722885,0.008429168723523617,0.8607292175292969,0.038114722818136215,0.060974378138780594,0.031752508133649826
14,1528987655152.0,-90.25,15.5,1.0,0.0,0.8909179046982107,0.1048990935087204,0.28892621397972107,0.23509454727172852,0.34135371446609497,0.029726482927799225
15,1528987655704.0,-45.88694,-23.17944,1.0,0.0,0.6900708389895109,0.137901172041893,0.3754214942455292,0.22666916251182556,0.1526905596256256,0.10731769353151321
16,1528987655787.0,-75.69611,4.81333,1.0,0.0,0.910769829014649,0.11739551275968552,0.031653355807065964,0.41455018520355225,0.3862454295158386,0.050155509263277054
17,1528987655841.0,-46.53333,-23.46278,0.0,0.0,0.21074182244494827,0.21974606812000275,0.08800538629293442,0.10199828445911407,0.10392686724662781,0.48632335662841797
18,1528987655872.0,28.04363,-26.20227,1.0,0.0,0.10090204977403375,0.05302802473306656,0.46892669796943665,0.23257336020469666,0.14886000752449036,0.09661191701889038
19,1528987656440.0,-71.05977,42.35843,1.0,0.0,0.40739982723948465,0.21159210801124573,0.03249303996562958,0.5608865022659302,0.18167689442634583,0.013351458124816418
20,1528987656596.0,18.42322,-33.92584,1.0,0.0,0.06734804392187922,0.11404769122600555,0.308793842792511,0.27625536918640137,0.13815750181674957,0.16274553537368774
21,1528987656815.0,120.0,-5.0,1.0,0.0,0.8811753310613087,0.0940760150551796,0.12303514033555984,0.4580707550048828,0.3035391569137573,0.021278932690620422
22,1528987656945.0,-78.89766,42.31477,1.0,0.0,0.7680575146971994,0.08642002195119858,0.08736860007047653,0.21406197547912598,0.0509641095995903,0.5611853003501892
23,1528987656989.0,-49.49538,-28.93575,1.0,0.0,0.49839033856227,0.1336948126554489,0.09497853368520737,0.48531049489974976,0.2639075517654419,0.02210860326886177
24,1528987657059.0,-55.0,-10.0,1.0,0.0,0.20217595894103277,0.08255113661289215,0.04894343018531799,0.613508939743042,0.22255751490592957,0.032438937574625015
25,1528987657057.0,-63.18117,-17.78629,0.0,0.0,0.43907152602263533,0.09882257878780365,0.08397659659385681,0.39437630772590637,0.41214460134506226,0.010679900646209717
26,1528987657266.0,-71.61245,10.66663,0.0,0.0,0.6610160661846881,0.06716402620077133,0.21811515092849731,0.18243399262428284,0.13749465346336365,0.39479219913482666
27,1528987657421.0,16.37208,48.20849,1.0,0.0,0.8219938989911246,0.05431824177503586,0.47866976261138916,0.1544369012117386,0.13795694708824158,0.1746181845664978
28,1528987657481.0,13.41053,52.52437,0.0,0.0,0.5334756911978062,0.1668001264333725,0.030552931129932404,0.5811892747879028,0.20203706622123718,0.019420672208070755
29,1528987657694.0,46.72185,24.68773,1.0,0.0,0.6828612539108924,0.08426132798194885,0.21974250674247742,0.35564497113227844,0.17312631011009216,0.16722488403320312
30,1528987656570.0,-122.03635,37.36883,0.0,0.0,0.6730669832749798,0.08460536599159241,0.08047723770141602,0.46301504969596863,0.3540104031562805,0.01789192482829094
31,1528987657781.0,35.83333,33.83333,0.0,0.0,0.44371865952322076,0.05768837407231331,0.008216137997806072,0.08826380968093872,0.8449215292930603,0.000910153437871486
32,1528987657831.0,-1.40428,50.90395,1.0,0.0,0.8087286070771278,0.08036670088768005,0.5086045265197754,0.2435894012451172,0.12218465656042099,0.04525473713874817
33,1528987658023.0,80.75,7.75,1.0,0.0,0.39404864528160993,0.27438151836395264,0.31423187255859375,0.29892635345458984,0.0752706229686737,0.037189628928899765
34,1528987658087.0,-74.07764,40.72816,1.0,0.0,0.5693046974113376,0.11302917450666428,0.033688392490148544,0.34727662801742554,0.5022532939910889,0.0037525412626564503
35,1528987658190.0,-74.00597,40.71427,0.0,0.0,0.579733458431745,0.10227885842323303,0.03658229857683182,0.447998583316803,0.4044850468635559,0.008655192330479622
36,1528987658822.0,-8.8882,38.5244,1.0,0.0,0.5125892856225432,0.1452154964208603,0.06256131082773209,0.48482125997543335,0.2920427620410919,0.015359175391495228
37,1528987658878.0,-79.88621,-2.19616,1.0,0.0,0.14796209982432496,0.0728895366191864,0.22353866696357727,0.15634554624557495,0.34084591269493103,0.20638032257556915
38,1528987659130.0,12.83333,42.83333,0.0,0.0,0.7926155175587534,0.12351026386022568,0.07927773892879486,0.403506338596344,0.3801595866680145,0.01354609988629818
39,1528987659241.0,5.62575,6.33815,0.0,0.0,0.000983431850499566,0.24881070852279663,0.10500044375658035,0.37516093254089355,0.07536745816469193,0.19566042721271515
40,1528987659304.0,-0.12574,51.50853,0.0,0.0,0.59443359409987,0.41319718956947327,0.13526016473770142,0.16513630747795105,0.17145924270153046,0.1149471253156662
41,1528987659681.0,37.2825,41.13139,1.0,0.0,0.8811753310613087,0.0940760150551796,0.12303514033555984,0.4580707550048828,0.3035391569137573,0.021278932690620422
42,1528987659972.0,135.75385,35.02107,0.0,0.0,0.3756368384008273,0.10913302004337311,0.2526499629020691,0.08921623229980469,0.228240966796875,0.3207598328590393
43,1528987660106.0,-43.93778,-19.92083,0.0,0.0,0.5284665578844014,0.0459270179271698,0.49710318446159363,0.06111700087785721,0.19021770358085632,0.20563508570194244
44,1528987660266.0,2.0,46.0,0.0,0.0,0.46459202681280587,0.1861705780029297,0.05659538507461548,0.5030168294906616,0.23860159516334534,0.015615568496286869
45,1528987660811.0,-103.0,23.25,0.0,0.0,0.6955953941647992,0.17198674380779266,0.36683353781700134,0.0741676613688469,0.17790625989437103,0.20910584926605225
46,1528987660881.0,28.12843,-25.98953,1.0,0.0,0.9555299681911672,0.09471695870161057,0.23183326423168182,0.38153114914894104,0.2824053168296814,0.009513292461633682
47,1528987661196.0,100.0,60.0,0.0,0.0,0.7713496182504451,0.25583192706108093,0.14236651360988617,0.12848326563835144,0.193858340382576,0.27945998311042786
48,1528987661300.0,-46.63611,-23.5475,1.0,0.0,0.5486337327282365,0.13125714659690857,0.07273568212985992,0.49829065799713135,0.2774583697319031,0.020258121192455292
49,1528987661586.0,-38.54306,-3.71722,0.0,0.0,0.5580583680548157,0.10576365888118744,0.323089063167572,0.1807141900062561,0.2148866355419159,0.1755465269088745
50,1528987661849.0,114.60938,32.24997,0.0,0.0,0.6497749228240951,0.17374877631664276,0.2090608924627304,0.1370258629322052,0.21960386633872986,0.2605606019496918
51,1528987662107.0,28.04363,-26.20227,0.0,0.0,0.8157387503032986,0.10792367160320282,0.043138712644577026,0.521084189414978,0.3116382360458374,0.01621517352759838
52,1528987662317.0,-1.54785,53.79648,0.0,0.0,0.9546251255059605,0.053091492503881454,0.05041469261050224,0.0525917112827301,0.0682704746723175,0.7756316661834717
53,1528987662479.0,-74.00597,40.71427,0.0,0.0,0.5017797107926402,0.11461567878723145,0.04571305215358734,0.28498685359954834,0.5515201091766357,0.003164248540997505
54,1528987662877.0,19.03991,47.49801,0.0,0.0,0.3446813330718889,0.10246488451957703,0.06497027724981308,0.2796531319618225,0.5459088087081909,0.007002955302596092
55,1528987663182.0,36.81667,-1.28333,0.0,0.0,0.9722808515460021,0.016609149053692818,0.31181854009628296,0.02722656913101673,0.05510425567626953,0.5892415046691895
56,1528987663445.0,-77.9,18.25,1.0,0.0,0.409069782307759,0.1014300286769867,0.04473166912794113,0.5601285696029663,0.28286275267601013,0.010846931487321854
57,1528987663787.0,-52.36106,-31.71026,0.0,0.0,0.35892685561364235,0.3078795373439789,0.1686498075723648,0.13073062896728516,0.14959047734737396,0.24314957857131958
58,1528987664653.0,-113.64258,60.10867,1.0,0.0,0.8021596595712446,0.1411661058664322,0.20409232378005981,0.23420053720474243,0.39830899238586426,0.022232025861740112
59,1528987664636.0,-88.91667,13.83333,0.0,0.0,0.8449462361857859,0.06520184874534607,0.17951400578022003,0.3287627398967743,0.4100647568702698,0.016456682235002518
60,1528987664808.0,-1.31269,53.69107,1.0,0.0,0.30694032974132973,0.03399895876646042,0.6001048684120178,0.11563069373369217,0.05205971747636795,0.19820576906204224
61,1528987665026.0,-58.37512,-34.61005,0.0,0.0,0.9338362089589429,0.07645229995250702,0.4963024854660034,0.1794811487197876,0.11710894107818604,0.13065509498119354
62,1528987664924.0,47.75,29.5,0.0,0.0,0.7016456293785895,0.2727091908454895,0.03031591884791851,0.3924742341041565,0.296350359916687,0.008150267414748669
63,1528987665176.0,-55.0,-10.0,1.0,0.0,0.48857562133495946,0.11396122723817825,0.10861331969499588,0.4288175702095032,0.3390595018863678,0.009548377245664597
64,1528987665448.0,-104.65756,24.02032,1.0,0.0,0.4081590950300117,0.06875742971897125,0.3267744183540344,0.2647525668144226,0.2669956088066101,0.07271996140480042
65,1528987666150.0,35.0,-6.0,0.0,0.0,0.2389459597479705,0.1796284317970276,0.01563970372080803,0.47688645124435425,0.32561448216438293,0.002230977173894644
66,1528987666437.0,-115.13722,36.17497,1.0,0.0,0.42310538471497655,0.06900031119585037,0.1914290189743042,0.37372928857803345,0.10521261394023895,0.26062870025634766
67,1528987666596.0,31.89329,-28.76197,1.0,0.0,0.9482916743170301,0.08066362142562866,0.08169883489608765,0.42473167181015015,0.399772971868515,0.013132892549037933
68,1528987666761.0,140.29129,41.49156,1.0,0.0,0.8811753310613087,0.0940760150551796,0.12303514033555984,0.4580707550048828,0.3035391569137573,0.021278932690620422
69,1528987666842.0,-3.68829,40.45301,1.0,0.0,0.895946164790214,0.016986114904284477,0.6255358457565308,0.07957978546619415,0.2396482676267624,0.03825001046061516
70,1528987667090.0,47.75,29.5,0.0,0.0,0.021040186825912126,0.2943786084651947,0.006666598375886679,0.46148914098739624,0.23636117577552795,0.0011045543942600489
71,1528987667706.0,144.96332,-37.814,0.0,0.0,0.7527151140833621,0.3014933168888092,0.1098494827747345,0.13036483526229858,0.3171052038669586,0.14118710160255432
72,1528987667893.0,-122.67621,45.52345,1.0,0.0,0.4013062597500649,0.07517600059509277,0.21601423621177673,0.4222944974899292,0.13654226064682007,0.14997294545173645
73,1528987668279.0,-43.93778,-19.92083,0.0,0.0,0.6497830168054264,0.1104774922132492,0.2073289155960083,0.4117494821548462,0.2554437518119812,0.015000390820205212
74,1528987668014.0,-47.92972,-15.77972,0.0,0.0,0.8070016428650626,0.17770326137542725,0.053309544920921326,0.44820016622543335,0.3085719347000122,0.012215053662657738
75,1528987668951.0,24.0,-29.0,1.0,0.0,0.30052154834624983,0.24247995018959045,0.11650504171848297,0.2578532099723816,0.11050930619239807,0.2726524770259857
76,1528987669140.0,7.42676,50.21909,1.0,0.0,0.867875169848301,0.058717139065265656,0.08422492444515228,0.30336856842041016,0.5383931994438171,0.015296213328838348
77,1528987669197.0,-3.70256,40.4165,1.0,0.0,0.8102825706311344,0.17287664115428925,0.30800551176071167,0.2754783630371094,0.18919074535369873,0.054448701441287994
78,1528987669334.0,120.0,-5.0,1.0,0.0,0.8811753310613087,0.0940760150551796,0.12303514033555984,0.4580707550048828,0.3035391569137573,0.021278932690620422
79,1528987669790.0,-0.12574,51.50853,1.0,0.0,0.9913131769966742,0.18136346340179443,0.08018063008785248,0.5199222564697266,0.2052854597568512,0.013248162344098091
80,1528987669993.0,17.36846,-22.01597,1.0,0.0,0.7871168044226439,0.11959964781999588,0.10435150563716888,0.39670783281326294,0.35348910093307495,0.02585195004940033
81,1528987670124.0,-96.91589,19.53124,1.0,0.0,0.9813412669708674,0.08556291460990906,0.2684594392776489,0.4250103235244751,0.18612253665924072,0.03484480828046799
82,1528987670715.0,-116.78467,34.68743,1.0,0.0,0.31163165778950674,0.10106456279754639,0.34075409173965454,0.2368387132883072,0.19760337471961975,0.12373930960893631
83,1528987670817.0,-64.0,-34.0,1.0,0.0,0.44563762061547807,0.12496763467788696,0.2553398013114929,0.24129170179367065,0.19597119092941284,0.18242976069450378
84,1528987670994.0,-84.38798,33.749,1.0,0.0,0.7508598431645136,0.14406445622444153,0.035932160913944244,0.5115761160850525,0.2890526354312897,0.019374608993530273
85,1528987671121.0,120.0,-5.0,1.0,0.0,0.6568017713496809,0.11395861208438873,0.04932142049074173,0.4487450420856476,0.3772357702255249,0.010739102028310299
86,1528987671583.0,88.44672,22.65474,0.0,0.0,0.2823853171207204,0.05168856680393219,0.08971904218196869,0.26022905111312866,0.5915756225585938,0.006787700112909079
87,1528987671934.0,-74.00597,40.71427,1.0,0.0,0.9813412669708674,0.08556291460990906,0.2684594392776489,0.4250103235244751,0.18612253665924072,0.03484480828046799
88,1528987672038.0,-49.27306,-25.42778,1.0,0.0,0.5486337327282365,0.13125714659690857,0.07273568212985992,0.49829065799713135,0.2774583697319031,0.020258121192455292
89,1528987672054.0,-110.5,29.66667,0.0,0.0,0.8760219678372199,0.039132241159677505,0.7430590391159058,0.03668935224413872,0.1559922993183136,0.025127075612545013
90,1528987672298.0,8.68417,50.11552,0.0,0.0,0.5465414254479448,0.15569444000720978,0.17384272813796997,0.1442345231771469,0.17372286319732666,0.3525054454803467
91,1528987672299.0,-99.16174,19.3467,1.0,0.0,0.39153112014349584,0.13943156599998474,0.049167994409799576,0.5430335402488708,0.2603952884674072,0.007971588522195816
92,1528987672532.0,-57.65625,-14.60485,1.0,0.0,0.07592575502156422,0.20117685198783875,0.1940063238143921,0.3734283149242401,0.09315715730190277,0.13823135197162628
93,1528987672924.0,6.63935,49.75565,0.0,0.0,0.667121755068316,0.14013004302978516,0.26250016689300537,0.12333106249570847,0.18869218230247498,0.28534653782844543
94,1528987672930.0,-118.24368,34.05223,0.0,0.0,0.8389186604071952,0.07746189832687378,0.1752113401889801,0.3673686981201172,0.33838558197021484,0.04157252609729767
95,1528987673163.0,-60.63932,-32.94682,1.0,0.0,0.7871168044226439,0.11959964781999588,0.10435150563716888,0.39670783281326294,0.35348910093307495,0.02585195004940033
96,1528987673283.0,-2.99835,51.58774,0.0,0.0,0.8933823547062121,0.11061473935842514,0.07397773116827011,0.4724786877632141,0.31909477710723877,0.023834075778722763
97,1528987673006.0,-57.65625,-14.60485,0.0,0.0,0.7204680106525161,0.0842149630188942,0.16975641250610352,0.401495099067688,0.32513362169265747,0.019399862736463547
98,1528987673715.0,-83.01018,40.1984,0.0,0.0,0.7042022451459033,0.26748883724212646,0.061979759484529495,0.5125398635864258,0.14835870265960693,0.009632864966988564
99,1528987674115.0,120.0,-5.0,1.0,0.0,0.9118128986122628,0.059228770434856415,0.05792274326086044,0.2877793312072754,0.5786916017532349,0.01637754589319229
100,1528987674249.0,-74.07764,40.72816,0.0,0.0,0.5181206832708917,0.07885812968015671,0.3396240770816803,0.0714816227555275,0.3226153254508972,0.1874207854270935
101,1528987674399.0,-8.4902,40.9007,1.0,0.0,0.4110766035079628,0.06946248561143875,0.3916533291339874,0.10871949046850204,0.26267850399017334,0.16748614609241486
102,1528987674560.0,-81.69541,41.4995,1.0,0.0,0.9813412669708674,0.08556291460990906,0.2684594392776489,0.4250103235244751,0.18612253665924072,0.03484480828046799
103,1528987674862.0,-51.23,-30.03306,1.0,0.0,0.4035814269024517,0.10969425737857819,0.04689652845263481,0.46640998125076294,0.3408510088920593,0.03614823520183563
104,1528987674936.0,-43.18223,-22.90642,0.0,0.0,0.5906488333740016,0.13171185553073883,0.21492663025856018,0.17603087425231934,0.13217228651046753,0.3451583683490753
