hashtag,timestamp,text,lang
Putin,2018-05-26 16:08:12,"RT @fifaworldcup_ru: 1⃣9⃣ дней до #ЧМ2018🇷🇺🏆

1⃣9⃣-й номер сборной Англии на ЧМ-1990 был не слишком известным игроком. К концу турнира в Ит…",ru
Putin,2018-05-26 15:48:39,"⚽ Анатомия гола с @Hyundai_Global ⚽

Блестящее командное взаимодействие сборной Аргентины🇦🇷 привело к голу Эстебана… https://t.co/u30grgeBnR",ru
Putin,2018-05-26 15:30:38,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 15:15:47,"1⃣9⃣ дней до #ЧМ2018🇷🇺🏆

1⃣9⃣-й номер сборной Англии на ЧМ-1990 был не слишком известным игроком. К концу турнира в… https://t.co/6cMa09ceXx",ru
Putin,2018-05-26 15:05:37,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 14:56:52,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 14:41:49,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 14:27:40,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 13:25:11,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 11:19:54,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 11:13:32,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 11:12:43,"Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков… https://t.co/8VGkZvlQQf",ru
Putin,2018-05-26 11:04:12,Когда ты весь на мерче. #WorldCup #volunteers2018 https://t.co/uSPZjJ0GEl,ru
Putin,2018-05-26 10:03:09,Футболистам сборной Нигерии запретили секс русскими девушками https://t.co/OSdJVSSjki,ru
Putin,2018-05-26 09:21:12,"Оборонительная схема Бразилии : Маркиньос ➡️ Тиаго Сильва ➡️ Алисон 🙌🇧🇷
#GigantesPorNatureza #TreinodaSeleção… https://t.co/JNvHLPKjSY",ru
Putin,2018-05-26 09:06:34,"RT @fifaworldcup_ru: Пеле🇧🇷 или Марадона🇦🇷? Зидан🇫🇷 или Беккенбауэр🇩🇪? Кройф🇳🇱 или Эйсебиу🇵🇹?

Отдай свой голос🙌 и выбери лучшего игрока в…",ru
Putin,2018-05-26 08:44:33,"Пеле🇧🇷 или Марадона🇦🇷? Зидан🇫🇷 или Беккенбауэр🇩🇪? Кройф🇳🇱 или Эйсебиу🇵🇹?

Отдай свой голос🙌 и выбери лучшего игрока… https://t.co/SrqLDFGycq",ru
Putin,2018-05-26 07:12:29,"Франция — Ирландия: прогноз на матч 28.05.2018 
#Moscow #чемпионатмирапофутболу #Москва #матрешка #WorldCup… https://t.co/Z3nhW4FskA",ru
Putin,2018-05-26 07:10:28,"RT @fifaworldcup_ru: Уилл Смит, Ники Джем и Эра Истрефи исполнят Live It Up, Официальную песню #ЧМ2018, созданную диджеем и композитором Di…",ru
Putin,2018-05-26 06:02:15,"RT @NintendoRU: 🏆 Бесплатное обновление 2018 FIFA #WorldCup Russia выйдет во вторник.
⚽ Скидка 66% на игру в Nintendo #eShop.
✔ Играйте все…",ru
Putin,2018-05-26 04:12:29,"Сборная неудачников. Звезды, которые не сыграют на чемпионате мира https://t.co/XA4mRL8Uc5",ru
Putin,2018-05-26 01:19:51,"Друзья удалось ли кому-либо из вас купить би...- https://t.co/NcorJfkOiZ
#FIFA18 https://t.co/YnR2gcQvgV",ru
Putin,2018-05-26 00:33:49,"RT @fifaworldcup_ru: 🎧 Представлена Официальная песня #ЧМ2018 🙌

Слушай композицию @Diplo Live It Up в исполнении @NickyJamPR, Уилла Смита…",ru
hastag,timestamp,text,lang
hastag,timestamp,text,lang
hashtag,timestamp,text,lang
ЧМ2018,2018-05-27 11:36:23,"RT @Feldscher03: На пятиминутках до сведения сотрудников скорой МСК и МО дежурящих во время ЧМ2018 было донесено, что, если на их смене умр…",ru
ЧМ2018,2018-05-27 11:34:10,"Российских воров в законе предупредили, чтобы они не работали во время ЧМ2018 https://t.co/Iw3EYa57ie",ru
ЧМ2018,2018-05-27 11:32:04,RT @lena_neva: Как изуродовать памятник Пушкину #ЧМ2018 https://t.co/rc07JmG63E,ru
ЧМ2018,2018-05-27 11:30:55,Марио Фернандес: Мой русский язык все лучше! #сборнаяРоссии #ЧМ2018 https://t.co/kZvA2XTFcs,ru
ЧМ2018,2018-05-27 11:24:11,"На пятиминутках до сведения сотрудников скорой МСК и МО дежурящих во время ЧМ2018 было донесено, что, если на их см… https://t.co/rIACm2QkIL",ru
ЧМ2018,2018-05-27 11:18:05,"RT @fifaworldcup_ru: Предскажи итоги #ЧМ2018: сыграй в #WorldCupBracket challenge by @DalianWanda, а затем сравни свои прогнозы с друзьями!…",ru
ЧМ2018,2018-05-27 11:16:37,Как изуродовать памятник Пушкину #ЧМ2018 https://t.co/rc07JmG63E,ru
ЧМ2018,2018-05-27 11:12:46,Спасибо за эту инициативу! Был рад участвовать в прошлом году на кануне Кубка конфедераций a в этот раз был на… https://t.co/HcDUbOhIt5,ru
ЧМ2018,2018-05-27 11:10:18,Европейский клубный сезон завершён. Теперь официально всё наши мысли связаны с #ЧМ2018! https://t.co/W2k4vjJuxH,ru
ЧМ2018,2018-05-27 11:10:18,RT @ANo1505: Тренировка сборной #ЧМ2018 https://t.co/g7rFdvoyuD,ru
ЧМ2018,2018-05-27 11:10:08,"Салах поедет на #ЧМ2018? Подробности
https://t.co/27mAqnlqIM https://t.co/SEU6VxjnhJ",ru
ЧМ2018,2018-05-27 11:06:16,"Ерохин занимается по индивидуальной программе

#рбинсайды #ЧМ2018
https://t.co/T4ZrHkgcSA https://t.co/CgWrWwjXxw",ru
ЧМ2018,2018-05-27 11:05:30,"Салах поедет на #ЧМ2018? Подробности
https://t.co/dtrUsi2nim https://t.co/KUUDTip7FU",ru
ЧМ2018,2018-05-27 11:04:40,"RT @Fake_MIDRF: Россия встречает гостей Чемпионата мира по футболу: 

#FIFAWorldCup2018 #FIFA2018 #ЧМ2018 #MH17 https://t.co/e45uzYH54v",ru
ЧМ2018,2018-05-27 10:59:37,"какой вывод я делаю для себя?
прежде чем требовать от кого-то бойкота ЧМ2018, начну с себя
ни один матч смотреть не… https://t.co/ki5Xudcdh0",ru
ЧМ2018,2018-05-27 10:55:38,"@cherdantsev Рамосу,вероятно,заплатил Мудко и прочие коррупционеры #России,чтобы Мо Салах не «изнасиловал» в одиноч… https://t.co/TuMW9miwO3",ru
ЧМ2018,2018-05-27 10:49:27,RT @ANo1505: Тренировка сборной #ЧМ2018 https://t.co/g7rFdvoyuD,ru
ЧМ2018,2018-05-27 10:44:01,RT @fifaworldcup_ru: А вам удалось собрать выпущенные к #ЧМ2018 стикеры Panini с Официальными плакатами всех городов-организаторов турнира?…,ru
